time,energy,event_type,epower
0,0,s,NA
4.70916,14315.9,s,3040
16.0039,48651.9,s,3040
38.8363,118062,s,3040
54.1959,164756,s,3040
70.3507,213866,s,3040
74.7683,227296,e,3040
88.51,269070,e,3040
95.4489,290165,s,3040
112.133,340884,e,3040
121.609,369693,s,3040
126.478,384494,s,3040
136.018,413496,s,3040
142.706,433826,e,3040
142.901,434419,s,3040
148.09,450195,e,3040
153.506,466657,s,3040
164.477,500010,s,3040
168.988,513723,s,3040
178.245,541864,e,3040
179.193,544747,s,3040
190.958,580512,e,3040
193.418,587992,s,3040
202.306,615009,e,3040
205.674,625249,e,3040
211.617,643316,s,3040
221.353,672915,s,3040
222.488,676365,s,3040
253.024,769192,s,3040
270.509,822348,e,3040
270.509,822348,s,NA
273.697,832039,e,3040
280.076,851432,e,3040
295.994,899822,e,3040
309.043,939492,e,3040
309.043,939492,s,NA
334.368,1.01648e+06,e,3040
334.368,1.01648e+06,s,NA
334.948,1.01824e+06,e,3040
334.948,1.01824e+06,s,NA
334.948,1.01824e+06,s,NA
334.948,1.01824e+06,s,NA
334.948,1.01824e+06,s,NA
336.459,1.02284e+06,s,3040
341.534,1.03826e+06,e,3040
346.187,1.05241e+06,s,3040
350.341,1.06504e+06,e,3040
358.858,1.09093e+06,s,3040
362.94,1.10334e+06,e,3040
370.88,1.12748e+06,e,3040
378.407,1.15036e+06,s,3040
389.081,1.18281e+06,s,3040
400.603,1.21783e+06,s,3040
419.568,1.27549e+06,s,3040
426.548,1.29671e+06,e,3040
435.468,1.32382e+06,s,3040
444.401,1.35098e+06,s,3040
461.949,1.40433e+06,e,3040
475.318,1.44497e+06,e,3040
475.318,1.44497e+06,s,NA
475.898,1.44673e+06,e,3040
477.591,1.45188e+06,e,3040
491.143,1.49307e+06,s,3040
497.752,1.51317e+06,e,3040
511.25,1.5542e+06,e,3040
511.25,1.5542e+06,s,NA
511.25,1.5542e+06,s,NA
513.018,1.55958e+06,e,3040
515.243,1.56634e+06,e,3040
515.243,1.56634e+06,s,NA
517.859,1.57429e+06,e,3040
530.088,1.61147e+06,s,3040
536.697,1.63156e+06,e,3040
545.978,1.65977e+06,s,3040
552.587,1.67986e+06,e,3040
571.932,1.73867e+06,s,3040
581.606,1.76808e+06,s,3040
588.215,1.78817e+06,e,3040
595.953,1.8117e+06,e,3040
595.953,1.8117e+06,s,NA
595.953,1.8117e+06,s,NA
600.748,1.82628e+06,e,3040
605.52,1.84078e+06,e,3040
605.52,1.84078e+06,s,NA
625.478,1.90145e+06,e,3040
625.478,1.90145e+06,s,NA
625.478,1.90145e+06,s,NA
626.177,1.90358e+06,e,3040
627.754,1.90837e+06,s,3040
658.033,2.00042e+06,e,3040
658.033,2.00042e+06,s,NA
658.397,2.00153e+06,e,3040
689.834,2.09709e+06,e,3040
689.834,2.09709e+06,s,NA
713.988,2.17052e+06,e,3040
713.988,2.17052e+06,s,NA
720.068,2.18901e+06,e,3040
720.068,2.18901e+06,s,NA
720.597,2.19062e+06,e,3040
720.597,2.19062e+06,s,NA
728.147,2.21357e+06,s,3040
734.931,2.23419e+06,e,3040
734.931,2.23419e+06,s,NA
736.491,2.23893e+06,e,3040
736.491,2.23893e+06,s,NA
737.404,2.24171e+06,e,3040
738.924,2.24633e+06,e,3040
743.1,2.25902e+06,e,3040
751.608,2.28489e+06,s,3040
772.938,2.34973e+06,s,3040
782.027,2.37736e+06,s,3040
787.083,2.39273e+06,e,3040
801.669,2.43707e+06,s,3040
804.558,2.44586e+06,e,3040
806.289,2.45112e+06,s,3040
809.107,2.45969e+06,e,3040
809.36,2.46045e+06,s,3040
813.688,2.47361e+06,e,3040
815.969,2.48055e+06,e,3040
817.328,2.48468e+06,s,3040
825.282,2.50886e+06,s,3040
826.585,2.51282e+06,e,3040
830.784,2.52558e+06,e,3040
836.033,2.54154e+06,s,3040
857.168,2.60579e+06,s,3040
861.417,2.61871e+06,s,3040
870.674,2.64685e+06,e,3040
873.852,2.65651e+06,e,3040
881.541,2.67989e+06,s,3040
890.179,2.70614e+06,e,3040
896.05,2.72399e+06,e,3040
904.844,2.75072e+06,s,3040
913.792,2.77793e+06,e,3040
913.888,2.77822e+06,e,3040
923.833,2.80845e+06,e,3040
924.519,2.81054e+06,s,3040
933.776,2.83868e+06,e,3040
952.448,2.89544e+06,e,3040
955.76,2.90551e+06,s,3040
958.412,2.91357e+06,e,3040
967.053,2.93984e+06,s,3040
975.146,2.96444e+06,s,3040
976.31,2.96798e+06,e,3040
985.868,2.99704e+06,e,3040
994.423,3.02305e+06,s,3040
995.991,3.02781e+06,s,3040
1012.68,3.07853e+06,e,3040
1013.16,3.08e+06,e,3040
1020.63,3.10271e+06,s,3040
1022.49,3.10837e+06,e,3040
1028.84,3.12768e+06,s,3040
1033.43,3.14162e+06,s,3040
1045.79,3.17921e+06,e,3040
1047.83,3.1854e+06,e,3040
1057.29,3.21417e+06,s,3040
1069.69,3.25187e+06,s,3040
1076.3,3.27196e+06,e,3040
1084.27,3.29619e+06,s,3040
1086.28,3.30229e+06,e,3040
1090.53,3.3152e+06,s,3040
1094.52,3.32734e+06,e,3040
1099.48,3.34241e+06,s,3040
1122.07,3.4111e+06,s,3040
1133.26,3.44512e+06,s,3040
1139.87,3.46521e+06,e,3040
1174.38,3.57011e+06,e,3040
1174.38,3.57011e+06,s,NA
1180.78,3.58958e+06,e,3040
1180.78,3.58958e+06,s,NA
1180.78,3.58958e+06,s,NA
1183.95,3.5992e+06,e,3040
1183.95,3.5992e+06,s,NA
1184.15,3.59982e+06,e,3040
1187.39,3.60967e+06,e,3040
1208.77,3.67466e+06,s,3040
1222.51,3.71644e+06,e,3040
1225.22,3.72468e+06,e,3040
1232.01,3.74531e+06,s,3040
1232.96,3.7482e+06,s,3040
1235.25,3.75517e+06,e,3040
1246.29,3.78872e+06,e,3040
1246.91,3.79062e+06,s,3040
1267.06,3.85186e+06,s,3040
1273.07,3.87014e+06,s,3040
1274.41,3.87422e+06,e,3040
1282.33,3.89828e+06,e,3040
1287.15,3.91295e+06,s,3040
1296.41,3.94109e+06,e,3040
1300.47,3.95343e+06,s,3040
1361.63,4.13934e+06,e,3040
1363.03,4.1436e+06,e,3040
1363.03,4.1436e+06,s,NA
1363.03,4.1436e+06,s,NA
1363.03,4.1436e+06,s,NA
1369.64,4.16369e+06,e,3040
1369.64,4.16369e+06,s,NA
1373.91,4.17669e+06,e,3040
1373.91,4.17669e+06,s,NA
1377.33,4.18708e+06,s,3040
1381.18,4.19879e+06,e,3040
1390.01,4.22562e+06,e,3040
1390.02,4.22565e+06,s,3040
1414.99,4.30157e+06,s,3040
1425,4.332e+06,s,3040
1441.47,4.38207e+06,e,3040
1441.47,4.38207e+06,s,NA
1446.58,4.39761e+06,e,3040
1455.41,4.42444e+06,s,3040
1500.95,4.5629e+06,s,3040
1503.98,4.57209e+06,e,3040
1510.21,4.59104e+06,e,3040
1512,4.59648e+06,e,3040
1512,4.59648e+06,s,NA
1526.9,4.64179e+06,e,3040
1528.68,4.6472e+06,e,3040
1530.64,4.65315e+06,s,3040
1559.89,4.74205e+06,s,3040
1569.1,4.77005e+06,e,3040
1569.1,4.77005e+06,s,NA
1578.35,4.79819e+06,e,3040
1580.2,4.8038e+06,s,3040
1589.46,4.83194e+06,e,3040
1614.22,4.90722e+06,e,3040
1619.15,4.92223e+06,e,3040
1650.88,5.01869e+06,e,3040
1653.54,5.02676e+06,e,3040
1653.56,5.02681e+06,e,3040
1653.56,5.02681e+06,s,NA
1653.56,5.02681e+06,s,NA
1653.56,5.02681e+06,s,NA
1657.32,5.03825e+06,e,3040
1679.46,5.10556e+06,e,3040
1679.46,5.10556e+06,s,NA
1679.46,5.10556e+06,s,NA
1679.46,5.10556e+06,s,NA
1679.46,5.10556e+06,s,NA
1679.46,5.10556e+06,s,NA
1690.8,5.14003e+06,e,3040
1690.8,5.14003e+06,s,NA
1698.31,5.16287e+06,s,3040
1702.31,5.17501e+06,e,3040
1711.83,5.20395e+06,e,3040
1711.83,5.20395e+06,s,NA
1711.83,5.20395e+06,s,NA
1721.46,5.23324e+06,e,3040
1760.63,5.3523e+06,e,3040
1760.63,5.3523e+06,s,NA
1760.63,5.3523e+06,s,NA
1764.37,5.36369e+06,s,3040
1770.98,5.38378e+06,e,3040
1775.97,5.39893e+06,s,3040
1787.11,5.4328e+06,e,3040
1787.11,5.4328e+06,s,NA
1802.45,5.47944e+06,e,3040
1813.59,5.5133e+06,e,3040
1820.41,5.53405e+06,e,3040
1838.38,5.58867e+06,s,3040
1848.32,5.61888e+06,e,3040
1850.95,5.6269e+06,s,3040
1852.78,5.63244e+06,e,3040
1864.63,5.66849e+06,s,3040
1886.89,5.73613e+06,e,3040
1886.89,5.73613e+06,s,NA
1926.89,5.85774e+06,e,3040
1926.89,5.85774e+06,s,NA
1945.26,5.91359e+06,e,3040
1945.26,5.91359e+06,s,NA
1953.14,5.93756e+06,e,3040
1959.45,5.95673e+06,e,3040
1962.82,5.96697e+06,e,3040
1963.23,5.9682e+06,e,3040
1963.23,5.9682e+06,s,NA
1963.23,5.9682e+06,s,NA
1967.5,5.9812e+06,e,3040
1967.6,5.98149e+06,e,3040
1967.6,5.98149e+06,s,NA
1969.93,5.98857e+06,e,3040
1969.99,5.98877e+06,e,3040
1969.99,5.98877e+06,s,NA
1971.74,5.9941e+06,e,3040
1971.74,5.9941e+06,s,NA
1999.16,6.07744e+06,e,3040
1999.16,6.07744e+06,s,NA
1999.16,6.07744e+06,s,NA
2011.99,6.11645e+06,e,3040
2011.99,6.11645e+06,s,NA
2011.99,6.11645e+06,s,NA
2011.99,6.11645e+06,s,NA
2011.99,6.11645e+06,s,NA
2011.99,6.11645e+06,s,NA
2014.43,6.12388e+06,s,3040
2018.6,6.13654e+06,e,3040
2018.6,6.13654e+06,e,NA
2021.04,6.14397e+06,e,3040
2023.46,6.15132e+06,s,3040
2038.47,6.19695e+06,e,3040
2040.04,6.20171e+06,e,3040
2040.04,6.20171e+06,e,NA
2047.48,6.22434e+06,s,3040
2049,6.22895e+06,e,3040
2052.47,6.2395e+06,s,3040
2054.09,6.24443e+06,e,3040
2078.95,6.32e+06,e,3040
2078.95,6.32e+06,s,NA
2100.5,6.38552e+06,e,3040
2100.5,6.38552e+06,s,NA
2109.76,6.41366e+06,e,3040
2109.76,6.41366e+06,s,NA
2174.51,6.61051e+06,e,3040
2174.51,6.61051e+06,s,NA
2174.51,6.61051e+06,s,NA
2174.51,6.61051e+06,s,NA
2174.51,6.61051e+06,s,NA
2174.51,6.61051e+06,s,NA
2174.85,6.61153e+06,s,3040
2181.12,6.6306e+06,e,3040
2183.77,6.63865e+06,e,3040
2183.77,6.63865e+06,e,NA
2187.19,6.64907e+06,s,3040
2204.77,6.7025e+06,s,3040
2217.84,6.74224e+06,s,3040
2224.45,6.76233e+06,e,3040
2225.89,6.7667e+06,s,3040
2236.59,6.79923e+06,e,3040
2236.59,6.79923e+06,e,NA
2237.54,6.80213e+06,e,3040
2249,6.83695e+06,s,3040
2264.96,6.88547e+06,e,3040
2264.96,6.88547e+06,e,NA
2273.05,6.91008e+06,e,3040
2274.1,6.91326e+06,s,3040
2274.88,6.91564e+06,e,3040
2282.36,6.93837e+06,s,3040
2284.39,6.94455e+06,e,3040
2301.22,6.99571e+06,s,3040
2313.92,7.0343e+06,s,3040
2330.61,7.08506e+06,s,3040
2340.18,7.11414e+06,e,3040
2341.78,7.119e+06,s,3040
2345.72,7.13099e+06,e,3040
2349.71,7.1431e+06,e,3040
2363.3,7.18443e+06,e,3040
2363.3,7.18443e+06,s,NA
2372.87,7.21351e+06,e,3040
2372.87,7.21351e+06,s,NA
2372.87,7.21351e+06,s,NA
2382.47,7.24272e+06,s,3040
2389.08,7.26281e+06,e,3040
2389.55,7.26423e+06,e,3040
2389.75,7.26483e+06,e,3040
2399.35,7.29402e+06,e,3040
2404.63,7.31008e+06,s,3040
2422.49,7.36436e+06,e,3040
2434.3,7.40027e+06,e,3040
2438.44,7.41287e+06,s,3040
2453.4,7.45834e+06,s,3040
2459.23,7.47607e+06,s,3040
2487.24,7.56122e+06,e,3040
2487.24,7.56122e+06,s,NA
2492.32,7.57665e+06,e,3040
2502.2,7.60669e+06,e,3040
2502.2,7.60669e+06,s,NA
2512.16,7.63698e+06,s,3040
2512.55,7.63814e+06,e,3040
2518.77,7.65707e+06,e,3040
2524.36,7.67405e+06,s,3040
2526.39,7.68023e+06,s,3040
2536.55,7.7111e+06,s,3040
2545.8,7.73925e+06,e,3040
2554.09,7.76442e+06,e,3040
2560.29,7.78329e+06,e,3040
2562.48,7.78993e+06,s,3040
2571.73,7.81807e+06,e,3040
2578.74,7.83937e+06,s,3040
2595.42,7.89009e+06,e,3040
2598.7,7.90003e+06,s,3040
2600.18,7.90456e+06,e,3040
2604.28,7.91701e+06,s,3040
2605.58,7.92096e+06,e,3040
2612.37,7.9416e+06,e,3040
2614.99,7.94956e+06,s,3040
2617.05,7.95583e+06,e,3040
2618.28,7.95957e+06,s,3040
2623.61,7.97577e+06,s,3040
2624.89,7.97966e+06,e,3040
2635.48,8.01185e+06,e,3040
2644.56,8.03946e+06,s,3040
2650.01,8.05604e+06,s,3040
2655.28,8.07206e+06,s,3040
2666.36,8.10574e+06,e,3040
2666.36,8.10574e+06,s,NA
2666.7,8.10676e+06,e,3040
2671.15,8.12029e+06,s,3040
2671.97,8.12278e+06,e,3040
2677.07,8.13828e+06,e,3040
2689.85,8.17714e+06,s,3040
2700.4,8.2092e+06,e,3040
2768.44,8.41604e+06,e,3040
2770.56,8.4225e+06,e,3040
2770.56,8.4225e+06,s,NA
2770.56,8.4225e+06,s,NA
2772.89,8.42958e+06,e,3040
2772.89,8.42958e+06,s,NA
2772.89,8.42958e+06,s,NA
2772.89,8.42958e+06,s,NA
2777.49,8.44357e+06,s,3040
2779.5,8.44967e+06,e,3040
2779.5,8.44967e+06,e,NA
2784.1,8.46366e+06,e,3040
2791.96,8.48756e+06,s,3040
2797.04,8.503e+06,e,3040
2802.69,8.52018e+06,e,3040
2805.08,8.52745e+06,s,3040
2812.1,8.54877e+06,e,3040
2818.09,8.56699e+06,s,3040
2827.32,8.59505e+06,s,3040
2827.34,8.59513e+06,e,3040
2843.74,8.64497e+06,s,3040
2857.39,8.68647e+06,s,3040
2872.97,8.73382e+06,s,3040
2889.23,8.78324e+06,e,3040
2892.68,8.79375e+06,s,3040
2899.29,8.81384e+06,e,3040
2901.28,8.8199e+06,s,3040
2912.87,8.85513e+06,e,3040
2913.84,8.85807e+06,e,3040
2914.1,8.85888e+06,s,3040
2923.9,8.88865e+06,s,3040
2933.15,8.91679e+06,e,3040
2939.94,8.9374e+06,s,3040
2944.59,8.95155e+06,s,3040
2945.9,8.95554e+06,e,3040
2947.98,8.96186e+06,s,3040
2972.17,9.03539e+06,s,3040
2988.17,9.08404e+06,s,3040
2998.06,9.1141e+06,s,3040
3013.92,9.16231e+06,e,3040
3024.1,9.19328e+06,e,3040
3024.1,9.19328e+06,s,NA
3033.1,9.22062e+06,e,3040
3035.33,9.22741e+06,s,3040
3060.14,9.30282e+06,e,3040
3060.14,9.30282e+06,s,NA
3072.9,9.34163e+06,e,3040
3072.9,9.34163e+06,s,NA
3072.9,9.34163e+06,s,NA
3076.9,9.35377e+06,e,3040
3080.83,9.36574e+06,e,3040
3085.07,9.37862e+06,e,3040
3088.93,9.39035e+06,e,3040
3099.44,9.42229e+06,s,3040
3109.54,9.45301e+06,e,3040
3115.55,9.47127e+06,s,3040
3127.07,9.50629e+06,s,3040
3136.33,9.53443e+06,e,3040
3150.53,9.57762e+06,s,3040
3162.74,9.61472e+06,s,3040
3169,9.63375e+06,s,3040
3172.99,9.64588e+06,e,3040
3178.44,9.66246e+06,e,3040
3198.08,9.72216e+06,s,3040
3203.24,9.73785e+06,e,3040
3204.63,9.74209e+06,e,3040
3213.8,9.76995e+06,e,3040
3213.81,9.76997e+06,s,3040
3223.06,9.79811e+06,e,3040
3237.63,9.84238e+06,s,3040
3238.15,9.84398e+06,e,3040
3239.04,9.84669e+06,e,3040
3249.39,9.87815e+06,s,3040
3259.95,9.91025e+06,e,3040
3260.16,9.91088e+06,e,3040
3260.26,9.91119e+06,s,3040
3266.87,9.93128e+06,e,3040
3275.55,9.95767e+06,s,3040
3287.76,9.9948e+06,e,3040
3288.97,9.99847e+06,s,3040
3292.96,1.00106e+07,e,3040
3296.93,1.00227e+07,s,3040
3299.71,1.00311e+07,e,3040
3311.47,1.00669e+07,e,3040
3318.43,1.0088e+07,s,3040
3325.04,1.01081e+07,e,3040
3325.94,1.01109e+07,e,3040
3326.42,1.01123e+07,e,3040
3337.63,1.01464e+07,e,3040
3338.7,1.01497e+07,e,3040
3342.06,1.01599e+07,s,3040
3356.93,1.02051e+07,s,3040
3358.65,1.02103e+07,e,3040
3367.24,1.02364e+07,s,3040
3375.06,1.02602e+07,s,3040
3376.8,1.02655e+07,e,3040
3397.41,1.03281e+07,s,3040
3419.9,1.03965e+07,s,3040
3430.57,1.04289e+07,e,3040
3442.53,1.04653e+07,s,3040
3450.16,1.04885e+07,s,3040
3459.49,1.05168e+07,e,3040
3465.66,1.05356e+07,s,3040
3469.01,1.05458e+07,e,3040
3474.92,1.05638e+07,e,3040
3481.06,1.05824e+07,s,3040
3494.32,1.06227e+07,s,3040
3507.54,1.06629e+07,e,3040
3511,1.06734e+07,e,3040
3513.32,1.06805e+07,s,3040
3529.05,1.07283e+07,s,3040
3538.62,1.07574e+07,e,3040
3548.89,1.07886e+07,s,3040
3549.22,1.07896e+07,e,3040
3565.46,1.0839e+07,s,3040
3575.4,1.08692e+07,e,3040
3578.75,1.08794e+07,s,3040
3601.88,1.09497e+07,s,3040
3626.71,1.10252e+07,s,3040
3628.92,1.10319e+07,e,3040
3634.13,1.10477e+07,s,3040
3640.83,1.10681e+07,e,3040
3647.46,1.10883e+07,e,3040
3658.98,1.11233e+07,s,3040
3665.59,1.11434e+07,e,3040
3689.84,1.12171e+07,e,3040
3693.03,1.12268e+07,e,3040
3696.71,1.1238e+07,s,3040
3699.89,1.12477e+07,e,3040
3715.15,1.12941e+07,s,3040
3725.64,1.1326e+07,s,3040
3733.48,1.13498e+07,s,3040
3740.69,1.13717e+07,e,3040
3745.37,1.13859e+07,s,3040
3747.49,1.13924e+07,e,3040
3754.63,1.14141e+07,e,3040
3762,1.14365e+07,s,3040
3767.66,1.14537e+07,e,3040
3775.08,1.14762e+07,e,3040
3781.12,1.14946e+07,s,3040
3793.53,1.15323e+07,s,3040
3814.01,1.15946e+07,s,3040
3814.15,1.1595e+07,e,3040
