method;trace;commit;id;D;F;I;K;M;O;P;R;S;U;W;X;Z;c;e;k;p;r;s;t;w;x;nbiter;pytimeit
detailed_utilisation;jobs.csv;cebbabb56326;1;0;0;0;0;354968;32;101%;100655;0.76;39.94;0;0;4096;264;40.13;0;0;0;0;0;50;0;30;39.17749163112603
free_slots;jobs.csv;cebbabb56326;1;0;0;0;0;486816;32;100%;143906;0.85;74.60;0;0;4096;602;74.90;0;0;0;0;0;41;0;30;73.93983920710161
detailed_utilisation;jobs.csv;cebbabb56326;2;0;0;0;0;354612;32;101%;102880;0.79;38.84;0;0;4096;402;39.00;0;0;0;0;0;45;0;30;38.137797723989934
free_slots;jobs.csv;cebbabb56326;2;0;0;0;0;487824;32;100%;145624;0.84;72.50;0;0;4096;507;72.72;0;0;0;0;0;44;0;30;71.76691249990836
detailed_utilisation;jobs.csv;cebbabb56326;3;0;0;0;0;355408;32;101%;102465;0.74;39.12;0;0;4096;211503;39.36;0;0;0;0;0;53;0;30;38.45128767704591
free_slots;jobs.csv;cebbabb56326;3;0;0;0;0;487912;32;100%;143353;0.82;72.78;0;0;4096;293;73.02;0;0;0;0;0;39;0;30;72.04015268106014
detailed_utilisation;jobs.csv;cebbabb56326;4;0;0;0;0;355236;32;101%;101911;0.82;38.60;0;0;4096;174;38.78;0;0;0;0;0;54;0;30;37.91944620083086
free_slots;jobs.csv;cebbabb56326;4;0;0;0;0;487416;32;100%;142448;0.79;72.65;0;0;4096;841;72.89;0;0;0;0;0;46;0;30;71.95316524012014
detailed_utilisation;jobs.csv;cebbabb56326;5;0;0;0;0;354976;32;101%;102542;0.74;37.88;0;0;4096;439;37.98;0;0;0;0;0;58;0;30;37.13118183403276
free_slots;jobs.csv;cebbabb56326;5;0;0;0;0;487684;32;100%;143367;0.91;71.14;0;0;4096;471;71.42;0;0;0;0;0;48;0;30;70.51497818902135
detailed_utilisation;jobs.csv;cebbabb56326;6;0;0;0;0;354400;32;101%;102599;0.82;36.67;0;0;4096;147;36.86;0;0;0;0;0;42;0;30;36.04027298698202
free_slots;jobs.csv;cebbabb56326;6;0;0;0;0;487884;32;100%;143288;0.84;70.53;0;0;4096;382;70.74;0;0;0;0;0;51;0;30;69.8543526250869
detailed_utilisation;jobs.csv;cebbabb56326;7;0;0;0;0;355268;32;101%;103489;0.76;37.16;0;0;4096;260;37.29;0;0;0;0;0;39;0;30;36.462123785866424
free_slots;jobs.csv;cebbabb56326;7;0;0;0;0;488264;32;100%;142525;0.94;73.46;0;0;4096;302;73.76;0;0;0;0;0;38;0;30;72.85106326802634
detailed_utilisation;jobs.csv;cebbabb56326;8;0;0;0;0;355064;32;101%;103301;0.68;38.48;0;0;4096;259;38.62;0;0;0;0;0;43;0;30;37.72790913213976
free_slots;jobs.csv;cebbabb56326;8;0;0;0;0;487936;32;100%;145877;0.88;72.38;0;0;4096;313;72.63;0;0;0;0;0;45;0;30;71.70416148612276
detailed_utilisation;jobs.csv;cebbabb56326;9;0;0;0;0;354600;32;101%;102259;0.76;38.83;0;0;4096;364;38.96;0;0;0;0;0;51;0;30;38.10291573009454
free_slots;jobs.csv;cebbabb56326;9;0;0;0;0;487444;32;100%;142411;0.89;72.88;0;0;4096;219;73.16;0;0;0;0;0;54;0;30;72.24281401792541
detailed_utilisation;jobs.csv;cebbabb56326;10;0;0;0;0;354608;32;101%;102091;0.78;38.05;0;0;4096;256;38.19;0;0;0;0;0;42;0;30;37.345449038082734
free_slots;jobs.csv;cebbabb56326;10;0;0;0;0;487244;32;100%;143435;0.82;73.00;0;0;4096;329;73.20;0;0;0;0;0;60;0;30;72.29683135799132
detailed_utilisation;jobs.csv;cebbabb56326;11;0;0;0;0;355824;32;101%;102266;0.78;38.82;0;0;4096;276;38.96;0;0;0;0;0;52;0;30;38.116486169165
free_slots;jobs.csv;cebbabb56326;11;0;0;0;0;487872;32;100%;143492;1.00;71.33;0;0;4096;163;71.67;0;0;0;0;0;38;0;30;70.77644158806652
detailed_utilisation;jobs.csv;cebbabb56326;12;0;0;0;0;354876;32;101%;102453;0.79;37.74;0;0;4096;204;37.88;0;0;0;0;0;47;0;30;37.041042087832466
free_slots;jobs.csv;cebbabb56326;12;0;0;0;0;487832;32;100%;145585;0.90;72.83;0;0;4096;285;73.09;0;0;0;0;0;46;0;30;72.19543890515342
detailed_utilisation;jobs.csv;cebbabb56326;13;0;0;0;0;355148;32;101%;103289;0.74;37.40;0;0;4096;124;37.51;0;0;0;0;0;55;0;30;36.672833365853876
free_slots;jobs.csv;cebbabb56326;13;0;0;0;0;488328;32;100%;145718;0.95;71.82;0;0;4096;695;72.14;0;0;0;0;0;41;0;30;71.2331108909566
detailed_utilisation;jobs.csv;cebbabb56326;14;0;0;0;0;355364;32;101%;103246;0.77;37.98;0;0;4096;146;38.10;0;0;0;0;0;47;0;30;37.25976470601745
free_slots;jobs.csv;cebbabb56326;14;0;0;0;0;487820;32;100%;143672;0.82;71.61;0;0;4096;597;71.80;0;0;0;0;0;49;0;30;70.86249366495758
detailed_utilisation;jobs.csv;cebbabb56326;15;0;0;0;0;355048;32;101%;102995;0.74;37.85;0;0;4096;175;37.99;0;0;0;0;0;53;0;30;37.15062670502812
free_slots;jobs.csv;cebbabb56326;15;0;0;0;0;488072;32;100%;143257;0.80;71.87;0;0;4096;499;72.04;0;0;0;0;0;44;0;30;71.14079745206982
detailed_utilisation;jobs.csv;cebbabb56326;16;0;0;0;0;354860;32;101%;102778;0.80;38.72;0;0;4096;230;38.93;0;0;0;0;0;48;0;30;38.05638143606484
free_slots;jobs.csv;cebbabb56326;16;0;0;0;0;488260;32;100%;143364;0.90;71.81;0;0;4096;289;72.06;0;0;0;0;0;47;0;30;71.14148902799934
detailed_utilisation;jobs.csv;cebbabb56326;17;0;0;0;0;355368;32;101%;102713;0.78;38.56;0;0;4096;292;38.73;0;0;0;0;0;46;0;30;37.876883945893496
free_slots;jobs.csv;cebbabb56326;17;0;0;0;0;487336;32;100%;143693;0.90;74.41;0;0;4096;583;74.74;0;0;0;0;0;48;0;30;73.79837703402154
detailed_utilisation;jobs.csv;cebbabb56326;18;0;0;0;0;354616;32;101%;102201;0.73;39.93;0;0;4096;359;40.08;0;0;0;0;0;38;0;30;39.20777930901386
free_slots;jobs.csv;cebbabb56326;18;0;0;0;0;486996;32;100%;142633;0.92;73.22;0;0;4096;605;73.52;0;0;0;0;0;34;0;30;72.6041142619215
detailed_utilisation;jobs.csv;cebbabb56326;19;0;0;0;0;354492;32;101%;102902;0.82;38.50;0;0;4096;343;38.70;0;0;0;0;0;53;0;30;37.81502159195952
free_slots;jobs.csv;cebbabb56326;19;0;0;0;0;487148;32;100%;145487;0.84;72.59;0;0;4096;279;72.80;0;0;0;0;0;48;0;30;71.86557276896201
detailed_utilisation;jobs.csv;cebbabb56326;20;0;0;0;0;355148;32;101%;103097;0.78;38.86;0;0;4096;186;39.00;0;0;0;0;0;52;0;30;38.13049230189063
free_slots;jobs.csv;cebbabb56326;20;0;0;0;0;487288;32;100%;142570;0.85;74.01;0;0;4096;398;74.28;0;0;0;0;0;46;0;30;73.36361984885298
detailed_utilisation;jobs.csv;cebbabb56326;21;0;0;0;0;354804;32;101%;102864;0.74;38.86;0;0;4096;502;38.98;0;0;0;0;0;45;0;30;38.116110648959875
free_slots;jobs.csv;cebbabb56326;21;0;0;0;0;487496;32;100%;145600;0.90;73.75;0;0;4096;415;74.01;0;0;0;0;0;46;0;30;73.0984457321465
detailed_utilisation;jobs.csv;cebbabb56326;22;0;0;0;0;354992;32;101%;102320;0.80;38.76;0;0;4096;221;38.96;0;0;0;0;0;48;0;30;38.105241192970425
free_slots;jobs.csv;cebbabb56326;22;0;0;0;0;487824;32;100%;146185;0.94;73.21;0;0;4096;242;73.50;0;0;0;0;0;50;0;30;72.59113694517873
detailed_utilisation;jobs.csv;cebbabb56326;23;0;0;0;0;354736;32;101%;102766;0.79;39.31;0;0;4096;431;39.50;0;0;0;0;0;49;0;30;38.64333069184795
free_slots;jobs.csv;cebbabb56326;23;0;0;0;0;487376;32;100%;143905;0.90;75.08;0;0;4096;748;75.36;0;0;0;0;0;45;0;30;74.42686980194412
detailed_utilisation;jobs.csv;cebbabb56326;24;0;0;0;0;354672;32;101%;103026;0.72;39.52;0;0;4096;194;39.62;0;0;0;0;0;48;0;30;38.75265712104738
free_slots;jobs.csv;cebbabb56326;24;0;0;0;0;487588;32;100%;145535;0.95;73.88;0;0;4096;559;74.21;0;0;0;0;0;52;0;30;73.27355260984041
detailed_utilisation;jobs.csv;cebbabb56326;25;0;0;0;0;354544;32;101%;102995;0.84;39.34;0;0;4096;443;39.56;0;0;0;0;0;52;0;30;38.66061223321594
free_slots;jobs.csv;cebbabb56326;25;0;0;0;0;487012;32;100%;143918;0.79;74.46;0;0;4096;376;74.73;0;0;0;0;0;52;0;30;73.76673030410893
detailed_utilisation;jobs.csv;cebbabb56326;26;0;0;0;0;355220;32;101%;102897;0.76;40.02;0;0;4096;302;40.15;0;0;0;0;0;43;0;30;39.24073013314046
free_slots;jobs.csv;cebbabb56326;26;0;0;0;0;487860;32;100%;142568;0.82;71.04;0;0;4096;393;71.25;0;0;0;0;0;52;0;30;70.31253544893116
detailed_utilisation;jobs.csv;cebbabb56326;27;0;0;0;0;355356;32;101%;103293;0.80;37.87;0;0;4096;159;38.03;0;0;0;0;0;49;0;30;37.183448849013075
free_slots;jobs.csv;cebbabb56326;27;0;0;0;0;487636;32;100%;143457;0.92;70.44;0;0;4096;409;70.73;0;0;0;0;0;49;0;30;69.84328841185197
detailed_utilisation;jobs.csv;cebbabb56326;28;0;0;0;0;355288;32;101%;103109;0.79;41.76;0;0;4096;256;41.93;0;0;0;0;0;42;0;30;41.069452536990866
free_slots;jobs.csv;cebbabb56326;28;0;0;0;0;487684;32;100%;142552;0.92;78.77;0;0;4096;479;79.11;0;0;0;0;0;52;0;30;78.11697413912043
detailed_utilisation;jobs.csv;cebbabb56326;29;0;0;0;0;355328;32;101%;102848;0.69;42.24;0;0;4096;199162;42.39;0;0;0;0;0;49;0;30;41.453674650983885
free_slots;jobs.csv;cebbabb56326;29;0;0;0;0;487088;32;100%;145984;0.92;80.13;0;0;4096;366;80.49;0;0;0;0;0;55;0;30;79.47431451804005
detailed_utilisation;jobs.csv;cebbabb56326;30;0;0;0;0;355776;32;101%;102997;0.82;41.85;0;0;4096;175;42.11;0;0;0;0;0;50;0;30;41.1517692161724
free_slots;jobs.csv;cebbabb56326;30;0;0;0;0;487112;32;100%;146220;0.92;78.61;0;0;4096;403;78.95;0;0;0;0;0;43;0;30;77.9545467318967
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;1;0;0;0;0;1526456;32;100%;394515;1.23;109.46;0;0;4096;482;110.15;0;0;0;0;0;50;0;30;108.9162189969793
free_slots;batsim_out_jobs.csv;cebbabb56326;1;0;0;0;0;2548904;32;100%;661432;1.78;215.77;0;0;4096;1054;217.00;0;0;0;0;0;44;0;30;215.53615252487361
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;2;0;0;0;0;1527528;32;100%;394665;1.29;107.60;0;0;4096;274;108.35;0;0;0;0;0;41;0;30;107.12167162587866
free_slots;batsim_out_jobs.csv;cebbabb56326;2;0;0;0;0;2547604;32;100%;663500;1.70;213.43;0;0;4096;806;214.54;0;0;0;0;0;50;0;30;213.15290911588818
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;3;0;0;0;0;1528716;32;100%;395036;1.20;106.11;0;0;4096;357;106.68;0;0;0;0;0;49;0;30;105.49219418084249
free_slots;batsim_out_jobs.csv;cebbabb56326;3;0;0;0;0;2548808;32;100%;658245;1.88;215.60;0;0;4096;670;216.88;0;0;0;0;0;52;0;30;215.50007292581722
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;4;0;0;0;0;1528896;32;100%;392024;1.20;106.78;0;0;4096;282;107.40;0;0;0;0;0;51;0;30;106.17241172492504
free_slots;batsim_out_jobs.csv;cebbabb56326;4;0;0;0;0;2547940;32;100%;657984;1.78;213.43;0;0;4096;739;214.57;0;0;0;0;0;39;0;30;213.22840289003216
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;5;0;0;0;0;1530220;32;100%;393165;1.08;102.50;0;0;4096;434;102.99;0;0;0;0;0;46;0;30;101.81046798499301
free_slots;batsim_out_jobs.csv;cebbabb56326;5;0;0;0;0;2549188;32;100%;665013;1.80;205.48;0;0;4096;36203;206.73;0;0;0;0;0;48;0;30;205.3901658281684
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;6;0;0;0;0;1528148;32;100%;393586;1.24;102.87;0;0;4096;390;103.47;0;0;0;0;0;50;0;30;102.33652710588649
free_slots;batsim_out_jobs.csv;cebbabb56326;6;0;0;0;0;2547868;32;100%;662338;1.64;214.99;0;0;4096;864;216.07;0;0;0;0;0;51;0;30;214.66022735112347
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;7;0;0;0;0;1528692;32;100%;395188;1.30;107.30;0;0;4096;457;108.02;0;0;0;0;0;36;0;30;106.7854587379843
free_slots;batsim_out_jobs.csv;cebbabb56326;7;0;0;0;0;2549252;32;100%;657434;1.71;208.43;0;0;4096;1091;209.56;0;0;0;0;0;47;0;30;208.19890001695603
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;8;0;0;0;0;1528048;32;100%;391976;1.30;104.57;0;0;4096;287;105.25;0;0;0;0;0;35;0;30;104.12764844694175
free_slots;batsim_out_jobs.csv;cebbabb56326;8;0;0;0;0;2547632;32;100%;657828;1.87;210.40;0;0;4096;608;211.62;0;0;0;0;0;47;0;30;210.27871170500293
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;9;0;0;0;0;1524964;32;100%;394100;1.25;104.26;0;0;4096;543;104.92;0;0;0;0;0;56;0;30;103.7678768679034
free_slots;batsim_out_jobs.csv;cebbabb56326;9;0;0;0;0;2549072;32;100%;662522;1.65;209.97;0;0;4096;900;211.03;0;0;0;0;0;51;0;30;209.65744910598733
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;10;0;0;0;0;1527040;32;100%;394505;1.34;103.17;0;0;4096;236;103.87;0;0;0;0;0;57;0;30;102.722901588073
free_slots;batsim_out_jobs.csv;cebbabb56326;10;0;0;0;0;2546068;32;100%;657409;1.68;204.72;0;0;4096;1010;205.80;0;0;0;0;0;44;0;30;204.437604309991
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;11;0;0;0;0;1525872;32;100%;394150;1.29;100.57;0;0;4096;651;101.22;0;0;0;0;0;47;0;30;100.0996161699295
free_slots;batsim_out_jobs.csv;cebbabb56326;11;0;0;0;0;2547676;32;100%;657798;1.85;213.37;0;0;4096;1340;214.60;0;0;0;0;0;49;0;30;213.2509350150358
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;12;0;0;0;0;1525356;32;100%;391012;1.20;104.91;0;0;4096;530;105.56;0;0;0;0;0;54;0;30;104.37697105715051
free_slots;batsim_out_jobs.csv;cebbabb56326;12;0;0;0;0;2546748;32;100%;657627;1.83;208.90;0;0;4096;825;210.12;0;0;0;0;0;59;0;30;208.71772701200098
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;13;0;0;0;0;1529592;32;100%;394218;1.26;106.93;0;0;4096;400;107.64;0;0;0;0;0;42;0;30;106.39846295677125
free_slots;batsim_out_jobs.csv;cebbabb56326;13;0;0;0;0;2547216;32;100%;657616;1.66;208.46;0;0;4096;217304;209.64;0;0;0;0;0;49;0;30;208.25048843794502
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;14;0;0;0;0;1527660;32;100%;392259;1.23;104.85;0;0;4096;399;105.45;0;0;0;0;0;51;0;30;104.2998908648733
free_slots;batsim_out_jobs.csv;cebbabb56326;14;0;0;0;0;2548944;32;100%;662184;1.79;218.29;0;0;4096;214267;219.51;0;0;0;0;0;49;0;30;218.160104354145
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;15;0;0;0;0;1529056;32;100%;394751;1.25;104.25;0;0;4096;615;104.88;0;0;0;0;0;47;0;30;103.73103667609394
free_slots;batsim_out_jobs.csv;cebbabb56326;15;0;0;0;0;2551340;32;100%;663234;1.69;210.92;0;0;4096;1076;211.99;0;0;0;0;0;51;0;30;210.63821719796397
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;16;0;0;0;0;1527788;32;100%;394923;1.36;107.24;0;0;4096;554;107.98;0;0;0;0;0;46;0;30;106.780406170059
free_slots;batsim_out_jobs.csv;cebbabb56326;16;0;0;0;0;2547748;32;100%;662256;1.58;206.38;0;0;4096;963;207.43;0;0;0;0;0;44;0;30;206.00484896986745
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;17;0;0;0;0;1528964;32;100%;393756;1.28;104.85;0;0;4096;710;105.51;0;0;0;0;0;46;0;30;104.37732717208564
free_slots;batsim_out_jobs.csv;cebbabb56326;17;0;0;0;0;2547184;32;100%;662171;1.80;214.39;0;0;4096;577;215.55;0;0;0;0;0;49;0;30;214.17517808894627
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;18;0;0;0;0;1531092;32;100%;392895;1.23;105.36;0;0;4096;933;106.01;0;0;0;0;0;43;0;30;104.81484346091747
free_slots;batsim_out_jobs.csv;cebbabb56326;18;0;0;0;0;2549592;32;100%;663357;1.72;209.46;0;0;4096;216695;210.61;0;0;0;0;0;48;0;30;209.2614794119727
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;19;0;0;0;0;1528844;32;100%;392697;1.18;104.47;0;0;4096;483;105.02;0;0;0;0;0;47;0;30;103.87356407288462
free_slots;batsim_out_jobs.csv;cebbabb56326;19;0;0;0;0;2547208;32;100%;662829;1.60;212.78;0;0;4096;215812;213.83;0;0;0;0;0;48;0;30;212.4746054620482
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;20;0;0;0;0;1526044;32;100%;390759;1.24;103.34;0;0;4096;632;103.96;0;0;0;0;0;54;0;30;102.81126534799114
free_slots;batsim_out_jobs.csv;cebbabb56326;20;0;0;0;0;2549428;32;100%;664294;1.78;213.15;0;0;4096;714;214.36;0;0;0;0;0;48;0;30;212.9376067800913
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;21;0;0;0;0;1528000;32;100%;394568;1.34;101.97;0;0;4096;490;102.67;0;0;0;0;0;50;0;30;101.54568357719108
free_slots;batsim_out_jobs.csv;cebbabb56326;21;0;0;0;0;2546180;32;100%;657546;1.78;208.47;0;0;4096;1032;209.63;0;0;0;0;0;50;0;30;208.19236704404466
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;22;0;0;0;0;1528436;32;100%;395212;1.26;106.26;0;0;4096;392;106.93;0;0;0;0;0;47;0;30;105.67048399103805
free_slots;batsim_out_jobs.csv;cebbabb56326;22;0;0;0;0;2547868;32;100%;662512;1.54;198.29;0;0;4096;998;199.26;0;0;0;0;0;45;0;30;197.8664930718951
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;23;0;0;0;0;1525264;32;100%;392847;1.17;101.06;0;0;4096;260;101.64;0;0;0;0;0;51;0;30;100.47551361098886
free_slots;batsim_out_jobs.csv;cebbabb56326;23;0;0;0;0;2551416;32;100%;663252;1.51;193.15;0;0;4096;442;194.04;0;0;0;0;0;49;0;30;192.7775964429602
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;24;0;0;0;0;1528324;32;100%;391799;1.12;95.08;0;0;4096;174;95.53;0;0;0;0;0;45;0;30;94.47468234598637
free_slots;batsim_out_jobs.csv;cebbabb56326;24;0;0;0;0;2547672;32;100%;663484;1.46;190.28;0;0;4096;275;191.11;0;0;0;0;0;46;0;30;189.87403533887118
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;25;0;0;0;0;1527880;32;100%;394658;1.15;94.78;0;0;4096;193;95.28;0;0;0;0;0;48;0;30;94.22029821202159
free_slots;batsim_out_jobs.csv;cebbabb56326;25;0;0;0;0;2551136;32;100%;658724;1.54;189.50;0;0;4096;482;190.37;0;0;0;0;0;42;0;30;189.1354201429058
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;26;0;0;0;0;1529480;32;100%;394082;1.17;94.63;0;0;4096;221;95.13;0;0;0;0;0;48;0;30;94.09190529794432
free_slots;batsim_out_jobs.csv;cebbabb56326;26;0;0;0;0;2548736;32;100%;662866;1.48;189.05;0;0;4096;339;189.86;0;0;0;0;0;47;0;30;188.6622264010366
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;27;0;0;0;0;1527888;32;100%;391460;1.17;94.86;0;0;4096;155;95.36;0;0;0;0;0;52;0;30;94.31210820097476
free_slots;batsim_out_jobs.csv;cebbabb56326;27;0;0;0;0;2547544;32;100%;658188;1.54;186.86;0;0;4096;285;187.74;0;0;0;0;0;52;0;30;186.539051058935
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;28;0;0;0;0;1525356;32;100%;392721;1.12;94.99;0;0;4096;174;95.47;0;0;0;0;0;46;0;30;94.4438143579755
free_slots;batsim_out_jobs.csv;cebbabb56326;28;0;0;0;0;2546404;32;100%;657999;1.44;189.38;0;0;4096;272;190.15;0;0;0;0;0;45;0;30;188.91211337200366
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;29;0;0;0;0;1527624;32;100%;391436;1.18;93.46;0;0;4096;156;93.97;0;0;0;0;0;46;0;30;92.9345617890358
free_slots;batsim_out_jobs.csv;cebbabb56326;29;0;0;0;0;2546460;32;100%;662378;1.53;189.61;0;0;4096;290;190.47;0;0;0;0;0;43;0;30;189.25181010598317
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;30;0;0;0;0;1529348;32;100%;392039;1.10;94.33;0;0;4096;160;94.76;0;0;0;0;0;45;0;30;93.73517411598004
